OG_ID	TRANSFER_DERIVED_GENE_ID	TRANSFER_PATH
OG0000001	insp1_GENE000267_WP_027121853.1	insp2 -> insp1
OG0000001	insp1_GENE000644_WP_027122198.1	insp2 -> insp1
OG0000001	insp1_GENE000650_WP_036459732.1	insp2 -> insp1
OG0000001	insp1_GENE000347_WP_027121927.1	insp2 -> insp1
OG0000001	insp1_GENE000656_WP_027122209.1	insp2 -> insp1
OG0000001	insp1_GENE000525_WP_027122080.1	insp2 -> insp1
OG0000001	insp1_GENE000567_WP_027122121.1	insp2 -> insp1
OG0000010	insp2_GENE000701_WP_011113944.1	outsp2 -> insp2
OG0000020	insp4_GENE000383_WP_052664027.1	N002 -> N006
OG0000020	insp5_GENE000318_WP_052663070.1	N002 -> N006
OG0000021	insp3_GENE001019_WP_036499462.1	N002 -> insp3
OG0000030	insp1_GENE000307_WP_027121890.1	N002 -> insp1
OG0000031	outsp1_GENE000217_WP_009885740.1	insp4 -> N002
OG0000031	outsp2_GENE000112_NP_109806.1	insp4 -> N002
OG0000032	insp3_GENE000634_WP_027119871.1	N004 -> insp3
OG0000032	insp3_GENE000633_WP_027119870.1	N004 -> insp3
OG0000129	outsp1_GENE000340_WP_009885889.1	insp3 -> N002
OG0000129	outsp2_GENE000446_NP_110134.1	insp3 -> N002
OG0000342	outsp2_GENE000542_NP_110229.1	insp5 -> outsp2
OG0000350	insp1_GENE000661_WP_027122214.1	insp2 -> insp1
OG0000486	outsp2_GENE000617_NP_110302.1	outsp1 -> outsp2
OG0000500	insp1_GENE000176_WP_027121840.1	insp2 -> insp1
OG0000504	insp1_GENE000279_WP_051420950.1	N002 -> insp1
OG0000505	insp1_GENE000508_WP_027122062.1	insp2 -> insp1
OG0000509	insp1_GENE000596_WP_027122151.1	insp3 -> insp1
OG0000528	insp5_GENE000009_WP_027123685.1	insp3 -> insp5
OG0000587	insp2_GENE000311_WP_011113534.1	insp4 -> insp2
OG0000594	outsp2_GENE000493_NP_110182.1	insp3 -> outsp2
OG0000595	outsp2_GENE000494_NP_110183.1	insp3 -> outsp2
OG0000596	outsp2_GENE000495_NP_110184.1	insp3 -> outsp2
OG0000668	outsp2_GENE000513_NP_110202.1	insp3 -> outsp2
OG0000687	outsp2_GENE000307_NP_109995.1	insp5 -> outsp2
OG0000690	outsp2_GENE000182_NP_109876.1	insp4 -> outsp2
OG0000692	insp5_GENE000279_WP_027123929.1	outsp1 -> insp5
